stop_lat,stop_lon,type,multimodal
28.657576,77.236595,Metro,Lal Quila(160_LQ)
28.552816,77.321564,Metro,Okhla Bird Sanctuary(161_OB)
28.542835,77.310173,Metro,Kalindi Kunj(162_KK)
28.546005,77.296715,Metro,Jasola Vihar Shaheen Bagh(163_JV)
28.561255,77.291916,Metro,Okhla Vihar(164_OV)
28.562944,77.286209,Metro,Jamia Millia Islamia(165_JM)
28.559887,77.275116,Metro,Sukhdev Vihar(166_SV)
28.554575,77.26487,Metro,Okhla NSIC(167_ON)
28.471981,77.094009,Metro,Phase-I (Rapid Metro)(168_P()
28.458475,77.09684,Metro,Sector 42-43 (Rapid Metro)(169_S4)
28.447533,77.100487,Metro,Sector 53-54 (Rapid Metro)(170_S5)
28.434212,77.104782,Metro,Sector 54 Chowk (Rapid Metro)(171_S5)
28.424587,77.105042,Metro,Sector 55-56 (Rapid Metro)(172_S5)
28.724157,77.182068,Metro,Majlis Park(173_MP)
28.70182,77.165184,Metro,Shalimar Bagh(174_SB)
28.685781,77.149651,Metro,Shakurpur(175_Sh)
28.672747,77.139183,Metro,Punjabi Bagh West(176_PB)
28.658159,77.127319,Metro,ESI Basai Darapur(177_EB)
28.637098,77.129738,Metro,Mayapuri(178_Ma)
28.624121,77.136482,Metro,Naraina Vihar(179_NV)
28.608641,77.140373,Metro,Delhi Cantt.(180_DC)
28.589376,77.169518,Metro,Durgabai Deshmukh South Campus(181_DD)
28.545856,77.25116,Metro,Nehru Enclave(182_NE)
28.541836,77.238243,Metro,Greater Kailash(183_GK)
28.541229,77.229385,Metro,Chirag Delhi(184_CD)
28.542339,77.220512,Metro,Panchsheel Park(185_PP)
28.547194,77.193832,Metro,IIT(186_II)
28.550486,77.184952,Metro,RK Puram(187_RP)
28.557821,77.174026,Metro,Munirka(188_Mu)
28.558378,77.160774,Metro,Vasant Vihar(189_VV)
28.560787,77.140442,Metro,Shankar Vihar(190_SV)
28.565275,77.122391,Metro,Terminal 1- IGI Airport(191_T1)
28.577108,77.111305,Metro,Sadar Bazar Contonment(192_SB)
28.589067,77.082954,Metro,Palam(193_Pa)
28.602333,77.08255,Metro,Dashrath Puri(194_DP)
28.615904,77.085258,Metro,Dabri Mor - Janakpuri South(195_DM)
28.68396,76.989822,Metro,Mundka Industrial Area (M.I.A)(196_MI)
28.685289,76.993584,Metro,Ghevra Metro station(197_GM)
28.686899,76.977249,Metro,Tikri Kalan(198_TK)
28.687876,76.963783,Metro,Tikri Border(199_TB)
28.689213,76.951088,Metro,Pandit Shree Ram Sharma(200_PS)
28.690784,76.935265,Metro,Bahadurgarh City(201_BC)
28.697428,76.919128,Metro,Brigadier Hoshiyar Singh(202_BH)
28.578529,77.175713,Metro,Sir Vishweshwaraiah Moti Bagh(203_SV)
28.570208,77.187866,Metro,Bhikaji Cama Place(204_BC)
28.570208,77.187866,Metro,Sarojini Nagar(205_SN)
28.5686,77.219818,Metro,South Extension(206_SE)
28.613506,77.308678,Metro,Trilokpuri Sanjay Lake(207_TS)
28.620052,77.305588,Metro,East Vinod Nagar - Mayur Vihar-II(208_EV)
28.624861,77.304146,Metro,Mandawali - West Vinod Nagar(209_M-)
28.631599,77.310898,Metro,IP Extension(210_IE)
28.649473,77.295341,Metro,Karkarduma Court(211_KC)
28.65782,77.290306,Metro,Krishna Nagar(212_KN)
28.665043,77.284599,Metro,East Azad Nagar(213_EA)
28.682943,77.27507,Metro,Jafrabad(214_Ja)
28.692057,77.280922,Metro,Maujpur - Babarpur(215_M-)
28.703009,77.286301,Metro,Gokulpuri(216_Go)
28.713297,77.290154,Metro,Johri Enclave(217_JE)
28.721863,77.289635,Metro,Shiv Vihar(218_SV)
28.354666,77.316261,Metro,Sant Surdas (Sihi)(219_SS)
28.339899,77.331657,Metro,Raja Nahar Singh(220_RN)
28.566179,77.249367,Metro,Vinobapuri(221_Vi)
28.576065,77.25753,Metro,Ashram(222_As)
28.5889,77.253189,Metro,Sarai Kale Khan - Nizamuddin(223_SK)
28.606598,77.296326,Metro,Mayur Vihar Pocket 1(224_MV)
28.670177,77.416031,Metro,Shaheed Sthal (New Bus Adda)(225_SS)
28.673508,77.40654,Metro,Hindon River(226_HR)
28.6772,77.391876,Metro,Arthala(227_Ar)
28.67856,77.384209,Metro,Mohan Nagar(228_MN)
28.678217,77.370911,Metro,Shyam Park(229_SP)
28.678095,77.359528,Metro,Major Mohit Sharma Rajender Nagar(230_MM)
28.677122,77.346466,Metro,Raj Bagh(231_RB)
28.676615,77.333809,Metro,Shaheed Nagar(232_SN)
28.580229,77.363518,Metro,Noida Sec-34(233_NS)
28.586849,77.372749,Metro,Noida Sec-52(234_NS)
28.597677,77.372368,Metro,Noida Sec-61(235_NS)
28.609089,77.372955,Metro,Noida Sec-59(236_NS)
28.616991,77.373611,Metro,Noida Sec-62(237_NS)
28.628685,77.375229,Metro,Noida Electronic City(238_NE)
28.61722,77.010345,Metro,Nangli(239_Na)
28.613316,76.986259,Metro,Najafgarh(240_Na)
28.611858,76.975426,Metro,Dhansa Bus Stand(241_DB)
28.585548,77.375374,Metro,Noida Sector 51(500_NS)
28.574547,77.378357,Metro,Noida Sector 50(501_NS)
28.565445,77.37973,Metro,Noida Sector 76(502_NS)
28.556065,77.385056,Metro,Noida Sector 101(503_NS)
28.549259,77.390099,Metro,Noida Sector 81(504_NS)
28.532248,77.394951,Metro,NSEZ(505_NS)
28.522284,77.396477,Metro,Noida Sector 83(506_NS)
28.510817,77.403625,Metro,Noida Sector 137(507_NS)
28.498999,77.412567,Metro,Noida Sector 142(508_NS)
28.494246,77.422318,Metro,Noida Sector 143(509_NS)
28.486376,77.432968,Metro,Noida Sector 144(510_NS)
